软件名称,软件版本,依赖软件数,开发商,官网地址
Apache Commons Text,1.9,1,apache,https://commons.apache.org/proper/commons-text/
Apache Commons Validator,1.7,4,Apache,http://commons.apache.org/proper/commons-validator/
Apache Commons VFS,2.9.0,15,apache,https://commons.apache.org/proper/commons-vfs/
Apache Curator,5.1.0,19,apache,https://curator.apache.org/
Apache CXF,3.5.2,344,apache,http://cxf.apache.org
Apache CXF,3.5.0,315,apache,http://cxf.apache.org
Apache Derby,10.14.2.0,0,Apache,http://db.apache.org/derby/
Apache Directory LDAP API,2.1.0,9,Apache Software Foundation,http://directory.apache.org/api/
Apache DolphinScheduler,2.0.5,207,Apache,http://dolphinscheduler.apache.org
Apache Druid,0.21.1,376,Apache,https://druid.apache.org/
Apache Felix Bundle Repository,2.0.10,12,Apache Software Foundation,http://felix.apache.org/
Apache Felix Configuration Admin,1.9.22,0,Apache Software Foundation,http://felix.apache.org/
Apache Felix EventAdmin,1.6.2,0,Apache Software Foundation,https://felix.apache.org/documentation/subprojects/apache-felix-event-admin.html
Apache Felix Framework,7.0.0,9,Apache Software Foundation,https://felix.apache.org/
Apache Felix Framework Security,2.8.0,2,Apache,http://felix.apache.org ; http://felix.apache.org/documentation/subprojects/apache-felix-framework-security.html ;
Apache Felix Gogo Runtime,1.1.6,10,Apache Software Foundation,http://felix.apache.org/
Apache Felix Http Servlet API,1.2.0,5,Apache Software Foundation,http://felix.apache.org/
Apache Felix Log,1.2.6,2,Apache Software Foundation,https://felix.apache.org/documentation/subprojects/apache-felix-log.html
Apache Felix Main,7.0.0,1,Apache Software Foundation,http://felix.apache.org/
Apache Felix Metatype,1.2.4,2,Apache Software Foundation,https://felix.apache.org/documentation/subprojects/apache-felix-metatype-service.html
Apache Felix Service Component Runtime (SCR),2.1.30,35,Apache,http://felix.apache.org/documentation/subprojects/apache-felix-service-component-runtime.html
Apache Flink,1.15.0,301,Apache Flink,https://flink.apache.org/
Apache Flink,1.14.4,321,Apache Flink,https://flink.apache.org/
Apache Flume,1.10.0,217,apache,http://flume.apache.org/
Apache FOP,v2.6,0,Apache Software Foundation,http://xmlgraphics.apache.org/fop/index.html
Apache FreeMarker,2.3.31,0,The Apache Software Foundation,https://freemarker.apache.org/
Apache FTPServer,1.1.3,6,Apache Software Foundation,http://mina.apache.org/ftpserver-project
Apache Hadoop,3.3.3,275,Apache,https://hadoop.apache.org/
Apache Hadoop,3.3.1,325,Apache,https://hadoop.apache.org/
Apache Hadoop,3.2.2,193,Apache,https://hadoop.apache.org/
Apache HBase,2.4.13,156,Apache,http://hbase.apache.org/
Apache HTTP Server,2.4.54,4,apache,http://httpd.apache.org/
Apache HTTP Server,2.4.53,4,apache,http://httpd.apache.org/
Apache HttpComponents - HttpClient,5.1,7,apache,https://hc.apache.org/index.html
Apache HttpComponents - HttpCore,5.1.1,4,apache,https://github.com/apache/olingo-odata2
Apache Ignite,2.13.0,368,Apache,http://ignite.apache.org/index.html
Apache Impala,4.0.0,0,apache,https://impala.apache.org/
Apache Jakarta Commons DBCP,2.9.0,2,apache,https://commons.apache.org/proper/commons-dbcp/
Apache Jakarta Commons Math,3.6.1,0,The Apache Software Foundation,https://commons.apache.org/proper/commons-math/
Apache Kafka,2.8.1,64,apache,http://kafka.apache.org
Apache Kylin,4.0.0,9,apache,http://kylin.apache.org/cn/
Apache Log4j,2.17.1,93,apache,https://logging.apache.org/log4j/2.x/
Apache Lucene,8.7.0,22,Apache,https://lucene.apache.org/
Apache Maven,3.8.3,27,Apache,https://maven.apache.org/
Apache MINA,2.1.6,22,apache,https://mina.apache.org/mina-project/
Apache Mina SSHD,2.8.0,16,Apache,http://mina.apache.org/sshd-project/
Apache Neethi,3.2.0,0,Apache,http://ws.apache.org/neethi/
Apache NiFi,1.12.1,817,Apache,https://nifi.apache.org/
Apache OpenJPA,3.2.2,46,Apache,https://openjpa.apache.org/
Apache OpenNLP,1.9.3,23,apache,https://opennlp.apache.org
Apache ORC,1.7.4,99,Apache,https://orc.apache.org/
Apache PDFBox,2.0.25,3,apache,https://pdfbox.apache.org/
Apache POI,5.2.2,13,Apache Software Foundation,http://poi.apache.org/
Apache Portable Runtime (APR),1.7.0,0,Apache,http://apr.apache.org/
Apache Portable Runtime Utilities (APR-util),1.6.1,0,Apache Software Foundation,http://apr.apache.org/
Apache Pulsar,v2.7.4,936,Apache,http://pulsar.apache.org/
Apache Qpid Proton,0.37.0,0,apache,https://qpid.apache.org/proton/
Apache Ratis,2.2.0,0,apache,http://ratis.apache.org/
Apache Shiro,1.9.1,0,Apache,http://shiro.apache.org/
Apache Shiro,1.8.0,65,Apache,http://shiro.apache.org/
Apache Solr,8.11.1,129,Apache Software Foundation,https://solr.apache.org/
Apache Struts,2.5.30,7,Apache Software Foundation,http://struts.apache.org
Apache Thrift,0.14.1,5,apache,http://thrift.apache.org
Apache Tika,2.4.1,331,The Apache Software Foundation,https://tika.apache.org/
Apache Tika,2.4.0,297,The Apache Software Foundation,https://tika.apache.org/
Apache Tika,1.28.2,269,The Apache Software Foundation,https://tika.apache.org/
Apache Tika,1.27,226,The Apache Software Foundation,https://tika.apache.org/
Apache TinkerPop,3.4.13,123,TinkerPop Team,https://tinkerpop.apache.org/
Apache Tomcat,9.0.63,1,apache,https://tomcat.apache.org
Apache Tomcat Embed,9.0.63,2,Apache,https://tomcat.apache.org/
Apache Tomcat Embed,9.0.58,2,Apache,https://tomcat.apache.org/
Apache TVM,0.8.0,0,Apache,https://tvm.apache.org/
Apache Velocity,2.3,5,apache,http://velocity.apache.org/
Apache Xerces-C++,3.2.3,0,apache,http://xerces.apache.org/
Apache Xerces2 Java,2.12.2,1,Apache Software Foundation,http://xerces.apache.org/xerces2-j/
Apache XML Graphics Commons,2.7,2,apache,https://xmlgraphics.apache.org/commons/
Apache XML Security for Java,2.2.3,4,Apache Software Foundation,https://santuario.apache.org/javaindex.html
Apache XMLBeans,5.0.3,2,apache,http://xmlbeans.apache.org/
